Pot;Plot;Treatment;Basalt_type_exp;Dose_response_exp.;pH;EC;Date;Daysafterstart
11B;11;Control;Y;Y;5.57;70.91;23/09/2024;488
11C;11;Control;Y;Y;5.73;68.34;23/09/2024;488
12A;12;Huhnerberg_20;N;Y;6.61;52.99;23/09/2024;488
12B;12;Huhnerberg_20;N;Y;5.84;66.34;23/09/2024;488
12C;12;Huhnerberg_20;N;Y;5.59;59.44;23/09/2024;488
13A;13;Eifelgold_50;Y;N;5.97;53.23;23/09/2024;488
13B;13;Eifelgold_50;Y;N;5.57;66.28;23/09/2024;488
13C;13;Eifelgold_50;Y;N;5.5;63.45;23/09/2024;488
14A;14;Huhnerberg_50;Y;Y;5.88;107.2;23/09/2024;488
14B;14;Huhnerberg_50;Y;Y;5.81;72.11;23/09/2024;488
14C;14;Huhnerberg_50;Y;Y;5.97;92.56;23/09/2024;488
15A;15;Bolsdorfer_50;Y;N;5.54;54.64;23/09/2024;488
15B;15;Bolsdorfer_50;Y;N;5.73;67.75;23/09/2024;488
15C;15;Bolsdorfer_50;Y;N;5.56;89.55;23/09/2024;488
16A;16;Huhnerberg_30;N;Y;6;62.9;23/09/2024;488
16B;16;Huhnerberg_30;N;Y;5.87;61.83;23/09/2024;488
16C;16;Huhnerberg_30;N;Y;6.01;50.73;23/09/2024;488
17A;17;Lime_02;Y;N;5.77;55.58;23/09/2024;488
17B;17;Lime_02;Y;N;5.73;64.8;23/09/2024;488
17C;17;Lime_02;Y;N;5.9;57.45;23/09/2024;488
18A;18;Control;Y;Y;5.91;61.13;23/09/2024;488
18B;18;Control;Y;Y;5.62;63.07;23/09/2024;488
18C;18;Control;Y;Y;5.71;65.87;23/09/2024;488
19A;19;Huhnerberg_50;Y;Y;5.58;49.29;23/09/2024;488
19B;19;Huhnerberg_50;Y;Y;5.66;59.45;23/09/2024;488
19C;19;Huhnerberg_50;Y;Y;5.55;39.11;23/09/2024;488
20A;20;Bolsdorfer_50;Y;N;5.55;55.02;23/09/2024;488
20B;20;Bolsdorfer_50;Y;N;5.76;45.47;23/09/2024;488
20C;20;Bolsdorfer_50;Y;N;5.83;50.79;23/09/2024;488
21A;21;Eifelgold_50;Y;N;5.79;72.4;23/09/2024;488
21B;21;Eifelgold_50;Y;N;5.84;61.08;23/09/2024;488
21C;21;Eifelgold_50;Y;N;6.12;75.14;23/09/2024;488
1A;1;Control;Y;Y;6.48;47.12;13/02/2024;265
1B;1;Control;Y;Y;6.33;48.16;13/02/2024;265
1C;1;Control;Y;Y;6.49;31.9;13/02/2024;265
2A;2;Eifelgold_50;Y;N;6.46;85.38;13/02/2024;265
2B;2;Eifelgold_50;Y;N;6.69;69.78;13/02/2024;265
2C;2;Eifelgold_50;Y;N;6.58;50.39;13/02/2024;265
3A;3;Huhnerberg_02;N;Y;6.65;61.59;13/02/2024;265
3B;3;Huhnerberg_02;N;Y;6.2;79.63;13/02/2024;265
3C;3;Huhnerberg_02;N;Y;6.71;85.58;13/02/2024;265
4A;4;Bolsdorfer_50;Y;N;7.17;73.79;13/02/2024;265
4B;4;Bolsdorfer_50;Y;N;6.96;64.87;13/02/2024;265
4C;4;Bolsdorfer_50;Y;N;6.87;66.79;13/02/2024;265
5A;5;Huhnerberg_04;N;Y;6.58;46.04;13/02/2024;265
5B;5;Huhnerberg_04;N;Y;6.5;50.77;13/02/2024;265
5C;5;Huhnerberg_04;N;Y;6.8;54.83;13/02/2024;265
6A;6;Lime_02;Y;N;6.63;75.9;13/02/2024;265
6B;6;Lime_02;Y;N;6.93;66.6;13/02/2024;265
6C;6;Lime_02;Y;N;6.77;89.9;13/02/2024;265
7A;7;Huhnerberg_08;N;Y;6.65;58.45;13/02/2024;265
7B;7;Huhnerberg_08;N;Y;6.66;56.52;13/02/2024;265
7C;7;Huhnerberg_08;N;Y;6.49;56.08;13/02/2024;265
8A;8;Huhnerberg_12;N;Y;6.65;88.3;13/02/2024;265
8B;8;Huhnerberg_12;N;Y;6.53;77.54;13/02/2024;265
8C;8;Huhnerberg_12;N;Y;6.61;50.52;13/02/2024;265
9A;9;Huhnerberg_50;Y;Y;7.09;58.08;13/02/2024;265
9B;9;Huhnerberg_50;Y;Y;6.8;61.45;13/02/2024;265
9C;9;Huhnerberg_50;Y;Y;6.7;48.52;13/02/2024;265
10A;10;Lime_02;Y;N;6.5;42.82;13/02/2024;265
10B;10;Lime_02;Y;N;7.08;58.84;13/02/2024;265
10C;10;Lime_02;Y;N;7.28;39.92;13/02/2024;265
11A;11;Control;Y;Y;6.48;44.62;13/02/2024;265
11B;11;Control;Y;Y;6.9;67.87;13/02/2024;265
11C;11;Control;Y;Y;6.55;58.3;13/02/2024;265
12A;12;Huhnerberg_20;N;Y;7.03;70.53;13/02/2024;265
12B;12;Huhnerberg_20;N;Y;7.02;87.39;13/02/2024;265
12C;12;Huhnerberg_20;N;Y;6.47;59.42;13/02/2024;265
13A;13;Eifelgold_50;Y;N;6.8;51.6;13/02/2024;265
13B;13;Eifelgold_50;Y;N;6.78;55.55;13/02/2024;265
13C;13;Eifelgold_50;Y;N;7.07;81.66;13/02/2024;265
14A;14;Huhnerberg_50;Y;Y;7.15;80.06;13/02/2024;265
14B;14;Huhnerberg_50;Y;Y;6.86;90.74;13/02/2024;265
14C;14;Huhnerberg_50;Y;Y;7.17;89.09;13/02/2024;265
15A;15;Bolsdorfer_50;Y;N;7.25;72.24;13/02/2024;265
15B;15;Bolsdorfer_50;Y;N;7.2;70.82;13/02/2024;265
15C;15;Bolsdorfer_50;Y;N;6.71;71.22;13/02/2024;265
16A;16;Huhnerberg_30;N;Y;7.5;79.33;13/02/2024;265
16B;16;Huhnerberg_30;N;Y;6.9;60.15;13/02/2024;265
16C;16;Huhnerberg_30;N;Y;7.13;80.05;13/02/2024;265
17A;17;Lime_02;Y;N;6.9;62.09;13/02/2024;265
17B;17;Lime_02;Y;N;7.04;58.91;13/02/2024;265
17C;17;Lime_02;Y;N;6.58;58.05;13/02/2024;265
18A;18;Control;Y;Y;6.33;53.17;13/02/2024;265
18B;18;Control;Y;Y;6.95;74.95;13/02/2024;265
18C;18;Control;Y;Y;6.66;44.33;13/02/2024;265
19A;19;Huhnerberg_50;Y;Y;6.67;51.95;13/02/2024;265
19B;19;Huhnerberg_50;Y;Y;6.85;46.81;13/02/2024;265
19C;19;Huhnerberg_50;Y;Y;6.65;41.71;13/02/2024;265
20A;20;Bolsdorfer_50;Y;N;7.4;110.7;13/02/2024;265
20B;20;Bolsdorfer_50;Y;N;6.8;69.3;13/02/2024;265
20C;20;Bolsdorfer_50;Y;N;7.39;84.75;13/02/2024;265
21A;21;Eifelgold_50;Y;N;6.4;60.27;13/02/2024;265
21B;21;Eifelgold_50;Y;N;6.5;52.42;13/02/2024;265
21C;21;Eifelgold_50;Y;N;7;64.64;13/02/2024;265
1A;1;Control;Y;Y;6.16;68.2;23/07/2024;426
1B;1;Control;Y;Y;6.45;95.93;23/07/2024;426
1C;1;Control;Y;Y;6.33;87.3;23/07/2024;426
2A;2;Eifelgold_50;Y;N;6.45;80.44;23/07/2024;426
2B;2;Eifelgold_50;Y;N;6.43;91.91;23/07/2024;426
2C;2;Eifelgold_50;Y;N;6.66;83.34;23/07/2024;426
3A;3;Huhnerberg_02;N;Y;6.25;66.81;23/07/2024;426
3B;3;Huhnerberg_02;N;Y;6.83;113.1;23/07/2024;426
3C;3;Huhnerberg_02;N;Y;7.32;138.5;23/07/2024;426
4A;4;Bolsdorfer_50;Y;N;6.4;166.1;23/07/2024;426
4B;4;Bolsdorfer_50;Y;N;6.09;64.83;23/07/2024;426
4C;4;Bolsdorfer_50;Y;N;6.26;68.91;23/07/2024;426
5A;5;Huhnerberg_04;N;Y;6.39;74.11;23/07/2024;426
5B;5;Huhnerberg_04;N;Y;6.69;80.3;23/07/2024;426
5C;5;Huhnerberg_04;N;Y;6.68;80.02;23/07/2024;426
6A;6;Lime_02;Y;N;6.73;87.71;23/07/2024;426
6B;6;Lime_02;Y;N;6.22;82.77;23/07/2024;426
6C;6;Lime_02;Y;N;6.25;95.33;23/07/2024;426
7A;7;Huhnerberg_08;N;Y;6.16;83.58;23/07/2024;426
7B;7;Huhnerberg_08;N;Y;6.21;95.45;23/07/2024;426
7C;7;Huhnerberg_08;N;Y;6.58;74.3;23/07/2024;426
8A;8;Huhnerberg_12;N;Y;6.26;65.14;23/07/2024;426
8B;8;Huhnerberg_12;N;Y;6.79;58.96;23/07/2024;426
8C;8;Huhnerberg_12;N;Y;6.89;74.01;23/07/2024;426
9A;9;Huhnerberg_50;Y;Y;6.29;55.2;23/07/2024;426
9B;9;Huhnerberg_50;Y;Y;6.28;87.15;23/07/2024;426
9C;9;Huhnerberg_50;Y;Y;6.55;85.3;23/07/2024;426
10A;10;Lime_02;Y;N;6.65;64.85;23/07/2024;426
10B;10;Lime_02;Y;N;6.33;70.08;23/07/2024;426
10C;10;Lime_02;Y;N;6.33;68.4;23/07/2024;426
11A;11;Control;Y;Y;6.18;80.55;23/07/2024;426
11B;11;Control;Y;Y;6.8;70.2;23/07/2024;426
11C;11;Control;Y;Y;6.91;73.44;23/07/2024;426
12A;12;Huhnerberg_20;N;Y;6.47;80.25;23/07/2024;426
12B;12;Huhnerberg_20;N;Y;6.29;94.78;23/07/2024;426
12C;12;Huhnerberg_20;N;Y;6.24;77.29;23/07/2024;426
13A;13;Eifelgold_50;Y;N;6.71;66.65;23/07/2024;426
13B;13;Eifelgold_50;Y;N;6.26;62.69;23/07/2024;426
13C;13;Eifelgold_50;Y;N;6.14;80.59;23/07/2024;426
14A;14;Huhnerberg_50;Y;Y;6.76;100.9;23/07/2024;426
14B;14;Huhnerberg_50;Y;Y;6.95;83.27;23/07/2024;426
14C;14;Huhnerberg_50;Y;Y;6.54;80.27;23/07/2024;426
15A;15;Bolsdorfer_50;Y;N;6.36;85.94;23/07/2024;426
15B;15;Bolsdorfer_50;Y;N;6.24;62.04;23/07/2024;426
15C;15;Bolsdorfer_50;Y;N;6.36;97.46;23/07/2024;426
16A;16;Huhnerberg_30;N;Y;7.05;78.44;23/07/2024;426
16B;16;Huhnerberg_30;N;Y;6.96;67.5;23/07/2024;426
16C;16;Huhnerberg_30;N;Y;6.78;102.1;23/07/2024;426
17A;17;Lime_02;Y;N;7.02;74.87;23/07/2024;426
17B;17;Lime_02;Y;N;6.56;76.45;23/07/2024;426
17C;17;Lime_02;Y;N;6.69;72.7;23/07/2024;426
18A;18;Control;Y;Y;6.6;82.15;23/07/2024;426
18B;18;Control;Y;Y;6.74;64.69;23/07/2024;426
18C;18;Control;Y;Y;6.49;80.04;23/07/2024;426
19A;19;Huhnerberg_50;Y;Y;6.6;70.37;23/07/2024;426
19B;19;Huhnerberg_50;Y;Y;6.52;60.99;23/07/2024;426
19C;19;Huhnerberg_50;Y;Y;6.35;65.7;23/07/2024;426
20A;20;Bolsdorfer_50;Y;N;6.67;63.83;23/07/2024;426
20B;20;Bolsdorfer_50;Y;N;6.73;69.69;23/07/2024;426
20C;20;Bolsdorfer_50;Y;N;6.71;85.61;23/07/2024;426
21A;21;Eifelgold_50;Y;N;6.51;142.4;23/07/2024;426
21B;21;Eifelgold_50;Y;N;6.61;137.9;23/07/2024;426
21C;21;Eifelgold_50;Y;N;6.45;94.32;23/07/2024;426
1A;1;Control;Y;Y;6.8;110.8;28/01/2025;615
1B;1;Control;Y;Y;6.68;107.2;28/01/2025;615
1C;1;Control;Y;Y;7.06;89.63;28/01/2025;615
2A;2;Eifelgold_50;Y;N;6.82;129.6;28/01/2025;615
2B;2;Eifelgold_50;Y;N;6.82;122.6;28/01/2025;615
2C;2;Eifelgold_50;Y;N;6.66;126.4;28/01/2025;615
3A;3;Huhnerberg_02;N;Y;6.88;80.39;28/01/2025;615
3B;3;Huhnerberg_02;N;Y;6.45;110.9;28/01/2025;615
3C;3;Huhnerberg_02;N;Y;6.96;119.7;28/01/2025;615
4A;4;Bolsdorfer_50;Y;N;6.79;70.36;28/01/2025;615
4B;4;Bolsdorfer_50;Y;N;7.28;87.2;28/01/2025;615
4C;4;Bolsdorfer_50;Y;N;7.16;88.05;28/01/2025;615
5A;5;Huhnerberg_04;N;Y;7.03;62.16;28/01/2025;615
5B;5;Huhnerberg_04;N;Y;7.01;62.56;28/01/2025;615
5C;5;Huhnerberg_04;N;Y;6.96;62.48;28/01/2025;615
6A;6;Lime_02;Y;N;7.04;130;28/01/2025;615
6B;6;Lime_02;Y;N;7.1;138.8;28/01/2025;615
6C;6;Lime_02;Y;N;6.9;125.7;28/01/2025;615
7A;7;Huhnerberg_08;N;Y;6.68;111.1;28/01/2025;615
7B;7;Huhnerberg_08;N;Y;6.62;107.7;28/01/2025;615
7C;7;Huhnerberg_08;N;Y;6.61;118.6;28/01/2025;615
8A;8;Huhnerberg_12;N;Y;6.76;86.64;28/01/2025;615
8B;8;Huhnerberg_12;N;Y;6.89;50.1;28/01/2025;615
8C;8;Huhnerberg_12;N;Y;6.51;85.6;28/01/2025;615
9A;9;Huhnerberg_50;Y;Y;6.92;69.35;28/01/2025;615
9B;9;Huhnerberg_50;Y;Y;6.8;78.22;28/01/2025;615
9C;9;Huhnerberg_50;Y;Y;7.03;79.82;28/01/2025;615
10A;10;Lime_02;Y;N;7.04;91.89;28/01/2025;615
10B;10;Lime_02;Y;N;7;105.7;28/01/2025;615
10C;10;Lime_02;Y;N;7.11;86.83;28/01/2025;615
11A;11;Control;Y;Y;7.09;82.55;28/01/2025;615
11B;11;Control;Y;Y;6.65;110.7;28/01/2025;615
11C;11;Control;Y;Y;6.62;134.5;28/01/2025;615
12A;12;Huhnerberg_20;N;Y;6.77;76.67;28/01/2025;615
12B;12;Huhnerberg_20;N;Y;6.51;79.01;28/01/2025;615
12C;12;Huhnerberg_20;N;Y;6.55;82.75;28/01/2025;615
13A;13;Eifelgold_50;Y;N;6.44;110.21;28/01/2025;615
13B;13;Eifelgold_50;Y;N;6.55;97.72;28/01/2025;615
13C;13;Eifelgold_50;Y;N;6.36;104;28/01/2025;615
14A;14;Huhnerberg_50;Y;Y;6.81;60.84;28/01/2025;615
14B;14;Huhnerberg_50;Y;Y;7.06;70.77;28/01/2025;615
14C;14;Huhnerberg_50;Y;Y;6.76;69.23;28/01/2025;615
15A;15;Bolsdorfer_50;Y;N;6.62;108.9;28/01/2025;615
15B;15;Bolsdorfer_50;Y;N;6.62;103.8;28/01/2025;615
15C;15;Bolsdorfer_50;Y;N;6.79;103.1;28/01/2025;615
16A;16;Huhnerberg_30;N;Y;7.15;95.64;28/01/2025;615
16B;16;Huhnerberg_30;N;Y;7.13;96.77;28/01/2025;615
16C;16;Huhnerberg_30;N;Y;7.13;91.87;28/01/2025;615
17A;17;Lime_02;Y;N;6.82;85.21;28/01/2025;615
17B;17;Lime_02;Y;N;6.67;84.94;28/01/2025;615
17C;17;Lime_02;Y;N;6.83;86.31;28/01/2025;615
18A;18;Control;Y;Y;6.23;97.3;28/01/2025;615
18B;18;Control;Y;Y;6.51;90.31;28/01/2025;615
18C;18;Control;Y;Y;6.25;90.87;28/01/2025;615
19A;19;Huhnerberg_50;Y;Y;6.87;54.14;28/01/2025;615
19B;19;Huhnerberg_50;Y;Y;7.04;49.85;28/01/2025;615
19C;19;Huhnerberg_50;Y;Y;6.27;57.3;28/01/2025;615
20A;20;Bolsdorfer_50;Y;N;7.17;68.1;28/01/2025;615
20B;20;Bolsdorfer_50;Y;N;6.64;62.54;28/01/2025;615
20C;20;Bolsdorfer_50;Y;N;7.31;64.88;28/01/2025;615
21A;21;Eifelgold_50;Y;N;6.58;88.59;28/01/2025;615
21B;21;Eifelgold_50;Y;N;6.56;96.1;28/01/2025;615
21C;21;Eifelgold_50;Y;N;6.71;93.2;28/01/2025;615
