Plot,Plant #,Part,Total Mass (g),Mass of Pan (g),Mass Difference (g)
12,4,Corn,215.4,120,95.4
12,5,TL,122.6,120,2.6
12,5,Rem,135.6,120,15.6
12,5,Corn,169.4,120,49.4
12,5,Stem,182.6,120,62.6
12,6,TL,122.6,120,2.6
12,6,Rem,142.4,120,22.4
12,6,Stem,163.4,120,43.4
12,6,Corn,208.2,120,88.2
13,1,TL,122,120,2
13,1,Rem,143.2,120,23.2
13,1,Corn,156.8,120,36.8
13,1,Stem,183.2,120,63.2
13,2,TL,123.2,120,3.2
13,2,Rem,142.2,120,22.2
13,2,Stem,163.4,120,43.4
13,2,Corn,249,120,129
13,3,TL,120,118,2
13,3,Rem,145.2,118,27.2
13,3,Stem,160,118,42
13,3,Corn,251.8,118,133.8
13,4,TL,123.2,120,3.2
13,4,Rem,139,120,19
13,4,Stem,159.4,120,39.4
13,4,Corn,207.8,120,87.8
13,5,TL,122,120,2
13,5,Rem,138.4,120,18.4
13,5,Stem,148.8,120,28.8
13,5,Corn,222.4,120,102.4
14,1,Rem,127,120,7
14,1,TL,129.6,120,9.6
14,1,Corn,181.6,120,61.6
14,1,Stem,203,120,83
14,2,TL,119,115,4
14,2,Corn,135.6,115,20.6
14,2,Rem,136,115,21
14,2,Stem,156.6,115,41.6
14,3,TL,127,120,7
14,3,Rem,144.4,120,24.4
14,3,Stem,162.8,120,42.8
14,3,Corn,187.8,120,67.8
14,4,TL,125,120,5
14,4,Rem,151.2,120,31.2
14,4,Stem,173,120,53
14,4,Corn,204,120,84
14,5,TL,131.2,120,11.2
14,5,Rem,142,120,22
14,5,Stem,165,120,45
14,5,Corn,185.8,120,65.8
14,6,TL,122.8,120,2.8
14,6,Rem,146.8,120,26.8
14,6,Stem,162.2,120,42.2
14,6,Corn,190,120,70
15,1,TL,122.2,120,2.2
15,1,Rem,142.8,120,22.8
15,1,Stem,167.4,120,47.4
15,1,Corn,196.4,120,76.4
15,2,TL,124.6,120,4.6
15,2,Rem,143.8,120,23.8
15,2,Stem,176.2,120,56.2
15,2,Corn,248,120,128
15,3,TL,122.2,120,2.2
15,3,Rem,141.6,120,21.6
15,3,Stem,158.8,120,38.8
15,3,Corn,219.6,120,99.6
15,4,TL,124.6,120,4.6
15,4,Rem,135.4,120,15.4
15,4,Stem,182,120,62
15,4,Corn,236.6,120,116.6
15,5,TL,122.4,120,2.4
15,5,Stem,176.6,120,56.6
15,5,Rem,184,120,64
15,5,Corn,186.8,120,66.8
16,1,TL,123.2,120,3.2
16,1,Rem,136.4,120,16.4
16,1,Stem,157,120,37
16,1,Corn,180.4,120,60.4
16,2,Corn,118,113,5
16,2,TL,120,113,7
16,2,Rem,134.2,113,21.2
16,2,Stem,147.4,113,34.4
16,3,TL,122.8,116,6.8
16,3,Rem,140.8,116,24.8
16,3,Stem,176,116,60
16,3,Corn,120.8,16,104.8
16,4,TL,124.6,120,4.6
16,4,Rem,131,120,11
16,4,Stem,148.4,120,28.4
16,4,Corn,196,120,76
16,5,TL,123.4,120,3.4
16,5,Corn,123.6,120,3.6
16,5,Rem,134.4,120,14.4
16,5,Stem,163.2,120,43.2
16,6,Corn,118.6,116,2.6
16,6,TL,122.4,116,6.4
16,6,Rem,135.4,116,19.4
16,6,Stem,154.8,116,38.8
17,1,TL,118.1,114,4.1
17,1,Rem,123,114,9
17,1,Stem,131.8,114,17.8
17,1,Corn,134.4,114,20.4
17,2,Rem,122.6,117,5.6
17,2,TL,140.4,117,23.4
17,2,Stem,149.4,117,32.4
17,2,Corn,170.4,117,53.4
17,3,TL,124.8,120,4.8
17,3,Rem,134.4,120,14.4
17,3,Stem,151.4,120,31.4
17,3,Corn,172.4,120,52.4
17,4,TL,121.6,116,5.6
17,4,Rem,131.2,116,15.2
17,4,Stem,143.4,116,27.4
17,4,Corn,168.2,116,52.2
17,5,TL,124.8,120,4.8
17,5,Rem,132.4,120,12.4
17,5,Stem,156,120,36
17,5,Corn,179.4,120,59.4
17,6,TL,125.6,120,5.6
17,6,Rem,135.8,120,15.8
17,6,Corn,152,120,32
17,6,Stem,165,120,45
18,1,TL,127.7,120,7.7
18,1,Rem,145,120,25
18,1,Stem,167,120,47
18,1,Corn,204.8,120,84.8
18,2,TL,122,120,2
18,2,Rem,135.4,120,15.4
18,2,Stem,147.4,120,27.4
18,2,Corn,151.8,120,31.8
18,3,TL,127.6,120,7.6
18,3,Rem,137.2,120,17.2
18,3,Stem,159.4,120,39.4
18,3,Corn,192.6,120,72.6
18,4,TL,126.4,120,6.4
18,4,Rem,136.8,120,16.8
18,4,Stem,150,120,30
18,4,Corn,179.2,120,59.2
18,5,TL,125.4,120,5.4
18,5,Rem,139.2,120,19.2
18,5,Stem,154.8,120,34.8
18,5,Corn,159.6,120,39.6
18,6,TL,124.8,120,4.8
18,6,Rem,146.2,120,26.2
18,6,Stem,159.6,120,39.6
18,6,Corn,194.2,120,74.2
19,1,TL,120.4,120,0.4
19,1,Rem,143.6,120,23.6
19,1,Stem,153.8,120,33.8
19,1,Corn,167.8,120,47.8
19,2,TL,125,120,5
19,2,Rem,139.6,120,19.6
19,2,Stem,154.6,120,34.6
19,2,Corn,162.4,120,42.4
19,3,TL,122,120,2
19,3,Corn,124.4,120,4.4
19,3,Rem,133.8,120,13.8
19,3,Stem,167.6,120,47.6
19,4,TL,123.2,120,3.2
19,4,Rem,143.2,120,23.2
19,4,Corn,143.6,120,23.6
19,4,Stem,162.4,120,42.4
19,5,TL,121,120,1
19,5,Corn,124.8,120,4.8
19,5,Rem,135.2,120,15.2
19,5,Stem,180.2,120,60.2
19,6,TL,125.2,120,5.2
19,6,Rem,146.2,120,26.2
19,6,Stem,165.4,120,45.4
19,6,Corn,188.2,120,68.2
20,1,TL,119.6,114,5.6
20,1,Rem,139.8,114,25.8
20,1,Corn,147.8,114,33.8
20,1,Stem,183.8,114,69.8
20,2,TL,119.4,114,5.4
20,2,Rem,137.6,114,23.6
20,2,Stem,149.6,114,35.6
20,2,Corn,200.6,114,86.6
20,3,TL,124.6,115,9.6
20,3,Corn,137.8,115,22.8
20,3,Stem,156,115,41
20,3,Rem,175.2,115,60.2
20,4,TL,125.8,120,5.8
20,4,Rem,139.2,120,19.2
20,4,Stem,152.2,120,32.2
20,4,Corn,203.2,120,83.2
20,5,Rem,121.4,114,7.4
20,5,TL,136,114,22
20,5,Corn,145,114,31
20,5,Stem,192,114,78
21,1,TL,121.8,116,5.8
21,1,Rem,134.6,116,18.6
21,1,Stem,166.8,116,50.8
21,1,Corn,178.8,116,62.8
21,2,TL,126.4,120,6.4
21,2,Rem,137.2,120,17.2
21,2,Stem,151.2,120,31.2
21,2,Corn,196,120,76
21,3,TL,120.2,114,6.2
21,3,Rem,147.8,114,33.8
21,3,Stem,164.8,114,50.8
21,3,Corn,242,114,128
21,4,TL,128,120,8
21,4,Rem,142.8,120,22.8
21,4,Stem,160.6,120,40.6
21,4,Corn,212.5,120,92.5
21,5,TL,124.4,120,4.4
21,5,Rem,145.8,120,25.8
21,5,Stem,163.8,120,43.8
21,5,Corn,236.4,120,116.4
