"Sampled_on","Tmt","App_rate","mean_pH","se_pH","mean_EC_µS_cm","se_EC_µS_cm","mean_DOC","se_DOC","mean_DIC","se_DIC","mean_Alkalinity_meq_l","se_Alkalinity_meq_l","mean_NO2.N_mgN_l","se_NO2.N_mgN_l","mean_NH4.N_mgN_l","se_NH4.N_mgN_l","mean_NO3.N_mgN_l","se_NO3.N_mgN_l","mean_PO4.P_mgP_l","se_PO4.P_mgP_l","mean_Cl_mgCl_l","se_Cl_mgCl_l","mean_Ca_mg_l","se_Ca_mg_l","mean_Fe_mg_l","se_Fe_mg_l","mean_K_mg_l","se_K_mg_l","mean_Mg_mg_l","se_Mg_mg_l","mean_Na_mg_l","se_Na_mg_l","mean_Ni_mg_l","se_Ni_mg_l","mean_P_mg_l","se_P_mg_l","mean_Al_mg_l","se_Al_mg_l","mean_Si_mg_l","se_Si_mg_l"
2023-09-06,"Huhnerberg","20",7.48,NA,161.2,NA,16.418,NA,4.26,NA,0.32,NA,3e-04,NA,0.08,NA,7.35,NA,0.28,NA,7,NA,13.87,NA,0.072,NA,9.2,NA,3.89,NA,3.86,NA,NA,NA,NA,NA,0.289,NA,3.989,NA
2023-09-06,"Huhnerberg","30",7.41,NA,130.8,NA,14.956,NA,7.72,NA,0.61,NA,3e-04,NA,0.28,NA,1.98,NA,0.33,NA,10,NA,12.43,NA,0.07,NA,7.16,NA,3.44,NA,3.54,NA,NA,NA,NA,NA,0.085,NA,2.91,NA
2023-09-06,"Huhnerberg","50",7.87666666666667,0.0352766841475279,187.7,39.6480768764388,20.0016666666667,4.44563854931,8.23366666666667,0.923297412056977,0.68,0.0721110255092798,4e-04,0.000115470053837925,0.166666666666667,0.0768837506311386,8.01,3.26735877021997,0.45,0.105987420637231,4.66666666666667,1.20185042515466,15.3533333333333,3.66644393262888,0.1,0.0249466096560902,12.3533333333333,3.86911847554166,5.25,1.28561269439906,5.56333333333333,1.38833633453057,NA,NA,NA,NA,0.203,0.077216146843347,4.66866666666667,0.764679526192364
2023-09-06,"Lime","02",7.59666666666667,0.141696075378882,271.1,18.8796186402162,19.197,3.31109745150053,6.003,2.24775376765339,0.546666666666667,0.261682589749066,0.000333333333333333,6.66666666666667e-05,0.0933333333333333,0.0176383420737639,13.86,2.1091546489846,0.493333333333333,0.114649223479466,6.66666666666667,2.185812841434,18.8766666666667,2.43336073043937,0.0753333333333333,0.0116809436452902,26.2533333333333,14.3865334408413,4.43,0.980832979325906,1.6,0.556776436283002,NA,NA,NA,NA,0.206333333333333,0.0280138854459316,2.66633333333333,0.53817727356121
2023-10-25,"Bolsdorfer","50",7.06666666666667,0.136666666666667,364.933333333333,28.6981029183309,70.793,9.50807889814411,25.8626666666667,4.09637764101136,2.5,0.404145188432738,0.00133333333333333,0.000688799277325728,0.196666666666667,0.0721880260923591,5.34,1.32492767098183,0.133333333333333,0.094926872439321,23,5.5075705472861,20.778,3.28266360343751,0.185333333333333,0.0192035876277788,24.491,2.00202131190788,7.14733333333333,1.14710364735615,17.6763333333333,4.11079101606708,NA,NA,NA,NA,0.458333333333333,0.0613523521237052,6.60433333333333,0.740030930284524
2023-10-25,"Control","0",7.04333333333333,0.114649223479466,252.9,43.5025286621364,52.145,18.8166106406016,8.22,0.633084775787045,0.933333333333333,0.0881917103688197,0.00166666666666667,0.000392994204085053,0.153333333333333,0.0484194634877798,7.32,2.83494855920409,0.466666666666667,0.347866513351186,21,5.5075705472861,16.8766666666667,4.88067899420198,0.257666666666667,0.0723195071271307,21.9056666666667,1.88402594933769,5.707,1.66768981928095,3.237,0.25568991637007,NA,NA,NA,NA,0.852333333333333,0.330196574448885,3.54933333333333,0.208747322005444
2023-10-25,"Eifelgold","50",7.1,0.185022521151705,241.933333333333,40.0259221560784,39.3793333333333,14.0269004218482,11.3643333333333,3.01566688773442,1.03333333333333,0.317979733805649,0.0014,0.000602771377334171,0.133333333333333,0.0260341655863555,3.67333333333333,1.1849238137722,0.2,0.0929157324317757,23.6666666666667,8.66666666666667,9.651,1.17139916339393,0.219333333333333,0.0910390636546264,26.12,5.68115871397141,3.14133333333333,0.178551890994685,11.3,3.77034233635798,NA,NA,NA,NA,0.604333333333333,0.0975471396015508,8.53133333333333,1.11446404657625
2023-10-25,"Huhnerberg","02",7.2,NA,258.3,NA,32.245,NA,6.966,NA,0.6,NA,2e-04,NA,0.11,NA,9.96,NA,0.27,NA,15,NA,16.964,NA,0.156,NA,27.12,NA,5.435,NA,5.744,NA,NA,NA,NA,NA,0.746,NA,3.643,NA
2023-10-25,"Huhnerberg","04",6.64,NA,394.3,NA,113.936,NA,10.353,NA,1,NA,7e-04,NA,0.45,NA,9.22,NA,0.02,NA,66,NA,27.229,NA,0.234,NA,24.72,NA,11.16,NA,4.847,NA,NA,NA,NA,NA,0.985,NA,4.979,NA
2023-10-25,"Huhnerberg","08",7.01,NA,247.7,NA,37.33,NA,8.589,NA,1,NA,0.0012,NA,0.22,NA,9.53,NA,0.1,NA,13,NA,12.818,NA,0.171,NA,27.24,NA,4.22,NA,5.026,NA,NA,NA,NA,NA,0.804,NA,4.056,NA
