"rbf..","sample.ID","date.fractionation","Plot","Sampling_year","SOM_fraction","mass.filter.s.","mass.filter.s.....dried.som","mass.som.on.filter","mass.som.on.filter.corr","mass.soil","mass.soil.corr","mass.rbf...som.fraction.freeze.dried","mass.som.fraction","total.mass.som.fractions","moisture_content","mass_rbf","Tmt","App_rate","Basalt_type_exp","Dose_resp_exp","recovery_percent","fraction_prop","core_id","Ctotal","Ntotal","CN","C_bulk","N_bulk","CN_bulk","Cprop","Nprop"
167,"3_2025_oPOM","09/04/2026",3,2025,"oPOM",0.106,0.381,"0.275",0.275,9.16,9.07100433456,106.147,0.531000000000006,9.453,0.009715684,105.891,"Huhnerberg","2","N","Y",104.211172780335,5.61726436052053,"3_2025",22.27,1.52,14.6513157894737,3.221543094,0.286069034666667,11.299039442774,38.8312289044898,29.8467879892703
165,"3_2025_MAOM","09/04/2026",3,2025,"MAOM",NA,NA,"#VALUE!",0,9.16,9.07100433456,181.87,8.81999999999999,9.453,0.009715684,173.05,"Huhnerberg","2","N","Y",104.211172780335,93.3037131069501,"3_2025",1.52,0.11,13.8181818181818,3.221543094,0.286069034666667,11.299039442774,44.0228920689285,35.8773834215354
20,"4_2025_fPOM","05/03/2026",4,2025,"fPOM",0.11,0.108,"-0.002",0,9.03,8.96984662791,104.681,0.039999999999992,8.91,0.006661503,104.641,"Bolsdorfer","50","Y","N",99.332802104734,0.448933782267026,"4_2025",21.38476563,1.256199718,17.0233803778007,1.52503511366667,0.152914272,10.1185034104347,6.29516240717078,3.68801736625677
32,"4_2025_oPOM","05/03/2026",4,2025,"oPOM",0.108,NA,"-0.108",0,9.03,8.96984662791,175.58,0.0700000000000216,8.91,0.006661503,175.51,"Bolsdorfer","50","Y","N",99.332802104734,0.785634118967695,"4_2025",29.85,1.91,15.6282722513089,1.52503511366667,0.152914272,10.1185034104347,15.3774678635442,9.81308773603747
15,"4_2025_MAOM","05/03/2026",4,2025,"MAOM",NA,NA,"#VALUE!",0,9.03,8.96984662791,179.6,8.79999999999998,8.91,0.006661503,170.8,"Bolsdorfer","50","Y","N",99.332802104734,98.7654320987653,"4_2025",1.44,0.1,14.4,1.52503511366667,0.152914272,10.1185034104347,93.2583262822551,64.5887599679154
164,"5_2025_fPOM","07/04/2026",5,2025,"fPOM",0.107,0.115,"0.008",0.008,9.03,8.85656626218,102.712,0.111000000000004,9.206,0.019206394,102.609,"Huhnerberg","4","N","Y",103.945476468823,1.20573538996311,"5_2025",19.28105164,1.199260235,16.0774543149928,1.982048652,0.209305415333333,13.0914265177228,11.7292006402547,6.90851932718578
163,"5_2025_oPOM","07/04/2026",5,2025,"oPOM",0.108,0.4,"0.292",0.292,9.03,8.85656626218,106.048,0.39500000000001,9.206,0.019206394,105.945,"Huhnerberg","4","N","Y",103.945476468823,4.29067999131012,"5_2025",24.8,1.62,15.3086419753086,1.982048652,0.209305415333333,13.0914265177228,53.6863026430348,33.2093728910578
157,"5_2025_MAOM","07/04/2026",5,2025,"MAOM",NA,NA,"#VALUE!",0,9.03,8.85656626218,184.67,8.69999999999999,9.206,0.019206394,175.97,"Huhnerberg","4","N","Y",103.945476468823,94.5035846187268,"5_2025",1.32,0.1,13.2,1.982048652,0.209305415333333,13.0914265177228,62.9372702687418,45.1510461247375
21,"6_2025_fPOM","05/03/2026",6,2025,"fPOM",0.107,0.115,"0.008",0.008,9.01,8.94580661518,106.168,0.161000000000001,9.03100000000001,0.007124682,106.015,"Lime","2","Y","N",100.952327593081,1.78274831137195,"6_2025",10.20723343,0.655251801,15.5775740172288,2.455962823,0.470408161333333,5.34560732092079,7.40928485997358,2.48326695362844
24,"6_2025_oPOM","05/03/2026",6,2025,"oPOM",0.109,0.11,"0.001",0.001,9.01,8.94580661518,107.629,0.0500000000000114,9.03100000000001,0.007124682,107.58,"Lime","2","Y","N",100.952327593081,0.553648543904455,"6_2025",26.51,1.77,14.9774011299435,2.455962823,0.470408161333333,5.34560732092079,5.97615841797582,2.08320774013205
