"sample","Plot","Sampling_year","SOM_fraction","Tmt","App_rate","fraction_prop","Ctotal","Ntotal","CN","Cprop","Nprop","X.14C....."
"12_2026_fPOM",12,2026,"fPOM","Huhnerberg",20,0.589326639746829,23.28001404,1.412431002,16.48223099538,6.96422966875747,5.94559440202077,-47.46
"12_2026_oPOM",12,2026,"oPOM","Huhnerberg",20,2.8265851795262,37.02,2.44,15.172131147541,53.1168443381015,49.2633417003138,-56.45
"13_2026_Bulk",13,2026,"Bulk","Eifelgold",50,100,1.81,0.14,12.9285714285714,100,100,-63.09
"13_2026_MAOM",13,2026,"MAOM","Eifelgold",50,96.1432809581363,1.01,0.07,14.4285714285714,53.6490131313357,48.0716404790682,NA
"13_2026_fPOM",13,2026,"fPOM","Eifelgold",50,1.87891440501051,25.43236732,1.421242476,17.8944604805071,26.400685807219,19.0742354369229,-38.37
"13_2026_oPOM",13,2026,"oPOM","Eifelgold",50,1.97780463685316,37.52,2.48,15.1290322580645,40.9984695992988,35.0353964242561,-17.52
"14_2026_Bulk",14,2026,"Bulk","Huhnerberg",50,100,2.26,0.17,13.2941176470588,100,100,NA
"14_2026_MAOM",14,2026,"MAOM","Huhnerberg",50,96.7493960026353,1.16,0.1,11.6,49.6589820190517,56.9114094133149,NA
"14_2026_fPOM",14,2026,"fPOM","Huhnerberg",50,0.252580716011534,29.64695549,1.841350317,16.1006600516419,3.31338462178153,2.73582106762308,-54.92
"14_2026_oPOM",14,2026,"oPOM","Huhnerberg",50,2.99802328135321,38.31,2.62,14.6221374045802,50.8204742958591,46.204829394973,-14.22
"15_2026_Bulk",15,2026,"Bulk","Bolsdorfer",50,100,1.89,0.14,13.5,100,100,-79.15
"15_2026_MAOM",15,2026,"MAOM","Bolsdorfer",50,98.6776308478721,1.26,0.1,12.6,65.7850872319148,70.4840220341944,NA
"15_2026_fPOM",15,2026,"fPOM","Bolsdorfer",50,0.433381486831886,23.97444916,1.397448421,17.1558740914703,5.49739810737369,4.32591624617037,-85.49
"15_2026_oPOM",15,2026,"oPOM","Bolsdorfer",50,0.888987665295966,35.5,2.23,15.9192825112108,16.6979164645539,14.1603035257857,-40.15
"16_2026_Bulk",16,2026,"Bulk","Huhnerberg",30,100,2.5,0.15,16.6666666666667,100,100,-209.59
"16_2026_MAOM",16,2026,"MAOM","Huhnerberg",30,94.188162260516,0.71,0.05,14.2,26.7494380819865,31.3960540868387,NA
"16_2026_fPOM",16,2026,"fPOM","Huhnerberg",30,1.24157122979755,32.29343414,1.826347947,17.6819724812273,16.0378394958344,15.1169404439668,-176.1
"16_2026_oPOM",16,2026,"oPOM","Huhnerberg",30,4.57026650968647,36.57,2.52,14.5119047619048,66.8538585036936,76.7804773627326,-24.17
"17_2026_Bulk",17,2026,"Bulk","Lime",2,100,2.05,0.15,13.6666666666667,100,100,-79.1
"17_2026_MAOM",17,2026,"MAOM","Lime",2,92.8333837314788,0.92,0.07,13.1428571428571,41.6618112355905,43.3222457413568,NA
"17_2026_fPOM",17,2026,"fPOM","Lime",2,0.917246245338111,32.9607811,1.792199969,18.391240748872,14.7478793694568,10.9592579497355,-66.24
"17_2026_oPOM",17,2026,"oPOM","Lime",2,6.24937002318305,16.86,1.21,13.9338842975207,51.3972578492031,50.4115848536766,-9.11
"18_2026_Bulk",18,2026,"Bulk","Control",0,100,1.98,0.14,14.1428571428571,100,100,-77.5
"18_2026_MAOM",18,2026,"MAOM","Control",0,91.85303514377,0.86,0.06,14.3333333333333,39.8957627392132,39.3655864901871,NA
"18_2026_fPOM",18,2026,"fPOM","Control",0,2.3063099041533,16.71080208,1.040011287,16.0679045399629,19.4647920926513,17.1327737974237,-91.08
"18_2026_oPOM",18,2026,"oPOM","Control",0,5.84065495207675,20.16,1.37,14.7153284671533,59.4684867847814,57.1549806024653,-25.32
"19_2026_Bulk",19,2026,"Bulk","Huhnerberg",50,100,1.88,0.13,14.4615384615385,100,100,-124.29
"19_2026_MAOM",19,2026,"MAOM","Huhnerberg",50,94.1353061005683,0.5,0.04,12.5,25.0359856650448,28.9647095694056,NA
"19_2026_fPOM",19,2026,"fPOM","Huhnerberg",50,1.28658732711488,29.57481384,1.819944382,16.2503943156215,20.2396705788966,18.0116721379624,-60.97
"19_2026_oPOM",19,2026,"oPOM","Huhnerberg",50,4.57810657231685,30.46,1.97,15.4619289340102,74.1750671238145,69.3759226728015,-37.37
"20_2026_Bulk",20,2026,"Bulk","Bolsdorfer",50,100,2.1,0.13,16.1538461538462,100,100,-160.41
"20_2026_MAOM",20,2026,"MAOM","Bolsdorfer",50,94.4256040695207,0.6,0.05,12,26.9787440198631,36.3175400267387,NA
"20_2026_fPOM",20,2026,"fPOM","Bolsdorfer",50,0.97498940228909,31.58865166,1.999277234,15.8000356942993,14.6660002862389,14.9944162722142,-87.61
"20_2026_oPOM",20,2026,"oPOM","Bolsdorfer",50,4.59940652819018,31.58,2.08,15.1826923076923,69.1663134096408,73.5905044510428,-32.21
"21_2026_Bulk",21,2026,"Bulk","Eifelgold",50,100,1.91,0.13,14.6923076923077,100,100,-77.19
"21_2026_MAOM",21,2026,"MAOM","Eifelgold",50,95.7946477334792,1.02,0.08,12.75,51.1573511456277,58.9505524513718,NA
"21_2026_fPOM",21,2026,"fPOM","Eifelgold",50,0.961223375204896,25.22785378,1.287819147,19.5895936465681,12.6961270992603,9.52216820871407,-69.77
"21_2026_oPOM",21,2026,"oPOM","Eifelgold",50,3.24412889131588,35.01,2.32,15.0905172413793,59.4643730287796,57.8952232911757,-24.86
